nama_lengkap,nim,email,id_prodi,angkatan,ipk_terakhir,tempat_lahir,tanggal_lahir,nama_orang_tua,nip_orang_tua,pangkat_orang_tua,instansi_orang_tua
Candra Kurniawan,72230049,72230049@students.ukdw.ac.id,72,2023,3.50
Dewi Maharani,81220050,81220050@students.ukdw.ac.id,81,2022,3.65
Ahmad Hidayat,61240051,61240051@students.ukdw.ac.id,61,2024,3.30
Siti Anggraini,62230052,62230052@students.ukdw.ac.id,62,2023,3.95
Budi Nugroho,71220053,71220053@students.ukdw.ac.id,71,2022,3.45
Diana Safitri,72240054,72240054@students.ukdw.ac.id,72,2024,3.70
Eko Wibowo,81230055,81230055@students.ukdw.ac.id,81,2023,3.55
Fitriani Rahayu,01220056,01220056@students.ukdw.ac.id,01,2022,3.80
Guntur Susanto,11240057,11240057@students.ukdw.ac.id,11,2024,3.35
Hesti Permata,12230058,12230058@students.ukdw.ac.id,12,2023,3.90
Indra Hartono,13220059,13220059@students.ukdw.ac.id,13,2022,3.25
Jessica Kusuma,31240060,31240060@students.ukdw.ac.id,31,2024,3.60
Kevin Firmansyah,41230061,41230061@students.ukdw.ac.id,41,2023,3.75
Larasati Melati,61220062,61220062@students.ukdw.ac.id,61,2022,3.40
Muhammad Gunawan,62240063,62240063@students.ukdw.ac.id,62,2024,3.85
Nina Sartika,71230064,71230064@students.ukdw.ac.id,71,2023,3.50
Oscar Purnomo,72220065,72220065@students.ukdw.ac.id,72,2022,3.65
Putri Cahyani,81240066,81240066@students.ukdw.ac.id,81,2024,3.30
Qory Suryanto,01230067,01230067@students.ukdw.ac.id,01,2023,3.95
Rian Kartini,11220068,11220068@students.ukdw.ac.id,11,2022,3.45
Susi Hakim,12240069,12240069@students.ukdw.ac.id,12,2024,3.70
Taufik Pertiwi,13230070,13230070@students.ukdw.ac.id,13,2023,3.55
Andi Ramadhan,31220071,31220071@students.ukdw.ac.id,31,2022,3.80
Bella Safira,41240072,41240072@students.ukdw.ac.id,41,2024,3.35
Citra Budiman,61230073,61230073@students.ukdw.ac.id,61,2023,3.90
Dedi Ayu,62220074,62220074@students.ukdw.ac.id,62,2022,3.25
Erna Irawan,71240075,71240075@students.ukdw.ac.id,71,2024,3.60
Fajar Dewi,72230076,72230076@students.ukdw.ac.id,72,2023,3.75
Gita Saputra,81220077,81220077@students.ukdw.ac.id,81,2022,3.40
Hendra Fitri,01240078,01240078@students.ukdw.ac.id,01,2024,3.85
Ika Maulana,11230079,11230079@students.ukdw.ac.id,11,2023,3.50
Joko Sinta,12220080,12220080@students.ukdw.ac.id,12,2022,3.65
Kartika Pratama,13240081,13240081@students.ukdw.ac.id,13,2024,3.30
Lina Sari,31230082,31230082@students.ukdw.ac.id,31,2023,3.95
Mira Wijaya,41220083,41220083@students.ukdw.ac.id,41,2022,3.45
Nanda Putri,61240084,61240084@students.ukdw.ac.id,61,2024,3.70
Oki Santoso,62230085,62230085@students.ukdw.ac.id,62,2023,3.55
Prita Lestari,71220086,71220086@students.ukdw.ac.id,71,2022,3.80
Qiqi Setiawan,72240087,72240087@students.ukdw.ac.id,72,2024,3.35
Rudi Indah,81230088,81230088@students.ukdw.ac.id,81,2023,3.90
Sari Kurniawan,01220089,01220089@students.ukdw.ac.id,01,2022,3.25
Toni Maharani,11240090,11240090@students.ukdw.ac.id,11,2024,3.60
Udin Hidayat,12230091,12230091@students.ukdw.ac.id,12,2023,3.75
Vina Anggraini,13220092,13220092@students.ukdw.ac.id,13,2022,3.40
Wati Nugroho,31240093,31240093@students.ukdw.ac.id,31,2024,3.85
Xena Safitri,41230094,41230094@students.ukdw.ac.id,41,2023,3.50
Yudi Wibowo,61220095,61220095@students.ukdw.ac.id,61,2022,3.65
Zara Rahayu,62240096,62240096@students.ukdw.ac.id,62,2024,3.30
Agus Susanto,71230097,71230097@students.ukdw.ac.id,71,2023,3.95
Bayu Permata,72220098,72220098@students.ukdw.ac.id,72,2022,3.45
Candra Hartono,81240099,81240099@students.ukdw.ac.id,81,2024,3.70
Dewi Kusuma,01230100,01230100@students.ukdw.ac.id,01,2023,3.55
Ahmad Firmansyah,11220101,11220101@students.ukdw.ac.id,11,2022,3.80
Siti Melati,12240102,12240102@students.ukdw.ac.id,12,2024,3.35
Budi Gunawan,13230103,13230103@students.ukdw.ac.id,13,2023,3.90
Diana Sartika,31220104,31220104@students.ukdw.ac.id,31,2022,3.25
Eko Purnomo,41240105,41240105@students.ukdw.ac.id,41,2024,3.60
Fitriani Cahyani,61230106,61230106@students.ukdw.ac.id,61,2023,3.75
Guntur Suryanto,62220107,62220107@students.ukdw.ac.id,62,2022,3.40
Hesti Kartini,71240108,71240108@students.ukdw.ac.id,71,2024,3.85
Indra Hakim,72230109,72230109@students.ukdw.ac.id,72,2023,3.50
Jessica Pertiwi,81220110,81220110@students.ukdw.ac.id,81,2022,3.65
Kevin Ramadhan,01240111,01240111@students.ukdw.ac.id,01,2024,3.30
Larasati Safira,11230112,11230112@students.ukdw.ac.id,11,2023,3.95
Muhammad Budiman,12220113,12220113@students.ukdw.ac.id,12,2022,3.45
Nina Ayu,13240114,13240114@students.ukdw.ac.id,13,2024,3.70
Oscar Irawan,31230115,31230115@students.ukdw.ac.id,31,2023,3.55
Putri Dewi,41220116,41220116@students.ukdw.ac.id,41,2022,3.80
Qory Saputra,61240117,61240117@students.ukdw.ac.id,61,2024,3.35
Rian Fitri,62230118,62230118@students.ukdw.ac.id,62,2023,3.90
Susi Maulana,71220119,71220119@students.ukdw.ac.id,71,2022,3.25
Taufik Sinta,72240120,72240120@students.ukdw.ac.id,72,2024,3.60
Andi Pratama,81230121,81230121@students.ukdw.ac.id,81,2023,3.75
Bella Sari,01220122,01220122@students.ukdw.ac.id,01,2022,3.40
Citra Wijaya,11240123,11240123@students.ukdw.ac.id,11,2024,3.85
Dedi Putri,12230124,12230124@students.ukdw.ac.id,12,2023,3.50
Erna Santoso,13220125,13220125@students.ukdw.ac.id,13,2022,3.65
Fajar Lestari,31240126,31240126@students.ukdw.ac.id,31,2024,3.30
Gita Setiawan,41230127,41230127@students.ukdw.ac.id,41,2023,3.95
Hendra Indah,61220128,61220128@students.ukdw.ac.id,61,2022,3.45
Ika Kurniawan,62240129,62240129@students.ukdw.ac.id,62,2024,3.70
Joko Maharani,71230130,71230130@students.ukdw.ac.id,71,2023,3.55
Kartika Hidayat,72220131,72220131@students.ukdw.ac.id,72,2022,3.80
Lina Anggraini,81240132,81240132@students.ukdw.ac.id,81,2024,3.35
Mira Nugroho,01230133,01230133@students.ukdw.ac.id,01,2023,3.90
Nanda Safitri,11220134,11220134@students.ukdw.ac.id,11,2022,3.25
Oki Wibowo,12240135,12240135@students.ukdw.ac.id,12,2024,3.60
Prita Rahayu,13230136,13230136@students.ukdw.ac.id,13,2023,3.75
Qiqi Susanto,31220137,31220137@students.ukdw.ac.id,31,2022,3.40
Rudi Permata,41240138,41240138@students.ukdw.ac.id,41,2024,3.85
Sari Hartono,61230139,61230139@students.ukdw.ac.id,61,2023,3.50
Toni Kusuma,62220140,62220140@students.ukdw.ac.id,62,2022,3.65
Udin Firmansyah,71240141,71240141@students.ukdw.ac.id,71,2024,3.30
Vina Melati,72230142,72230142@students.ukdw.ac.id,72,2023,3.95
Wati Gunawan,81220143,81220143@students.ukdw.ac.id,81,2022,3.45
Xena Sartika,01240144,01240144@students.ukdw.ac.id,01,2024,3.70
Yudi Purnomo,11230145,11230145@students.ukdw.ac.id,11,2023,3.55
Zara Cahyani,12220146,12220146@students.ukdw.ac.id,12,2022,3.80
Agus Suryanto,13240147,13240147@students.ukdw.ac.id,13,2024,3.35
Bayu Kartini,31230148,31230148@students.ukdw.ac.id,31,2023,3.90
Candra Hakim,41220149,41220149@students.ukdw.ac.id,41,2022,3.25
Dewi Pertiwi,61240150,61240150@students.ukdw.ac.id,61,2024,3.60
Ahmad Ramadhan,62230151,62230151@students.ukdw.ac.id,62,2023,3.75
Siti Safira,71220152,71220152@students.ukdw.ac.id,71,2022,3.40
Budi Budiman,72240153,72240153@students.ukdw.ac.id,72,2024,3.85
Diana Ayu,81230154,81230154@students.ukdw.ac.id,81,2023,3.50
Eko Irawan,01220155,01220155@students.ukdw.ac.id,01,2022,3.65
Fitriani Dewi,11240156,11240156@students.ukdw.ac.id,11,2024,3.30
Guntur Saputra,12230157,12230157@students.ukdw.ac.id,12,2023,3.95
Hesti Fitri,13220158,13220158@students.ukdw.ac.id,13,2022,3.45
Indra Maulana,31240159,31240159@students.ukdw.ac.id,31,2024,3.70
Jessica Sinta,41230160,41230160@students.ukdw.ac.id,41,2023,3.55
Kevin Pratama,61220161,61220161@students.ukdw.ac.id,61,2022,3.80
Larasati Sari,62240162,62240162@students.ukdw.ac.id,62,2024,3.35
Muhammad Wijaya,71230163,71230163@students.ukdw.ac.id,71,2023,3.90
Nina Putri,72220164,72220164@students.ukdw.ac.id,72,2022,3.25
Oscar Santoso,81240165,81240165@students.ukdw.ac.id,81,2024,3.60
Putri Lestari,01230166,01230166@students.ukdw.ac.id,01,2023,3.75
Qory Setiawan,11220167,11220167@students.ukdw.ac.id,11,2022,3.40
Rian Indah,12240168,12240168@students.ukdw.ac.id,12,2024,3.85
Susi Kurniawan,13230169,13230169@students.ukdw.ac.id,13,2023,3.50
Taufik Maharani,31220170,31220170@students.ukdw.ac.id,31,2022,3.65
Andi Hidayat,41240171,41240171@students.ukdw.ac.id,41,2024,3.30
Bella Anggraini,61230172,61230172@students.ukdw.ac.id,61,2023,3.95
Citra Nugroho,62220173,62220173@students.ukdw.ac.id,62,2022,3.45
Dedi Safitri,71240174,71240174@students.ukdw.ac.id,71,2024,3.70
Erna Wibowo,72230175,72230175@students.ukdw.ac.id,72,2023,3.55
Fajar Rahayu,81220176,81220176@students.ukdw.ac.id,81,2022,3.80
Gita Susanto,01240177,01240177@students.ukdw.ac.id,01,2024,3.35
Hendra Permata,11230178,11230178@students.ukdw.ac.id,11,2023,3.90
Ika Hartono,12220179,12220179@students.ukdw.ac.id,12,2022,3.25
Joko Kusuma,13240180,13240180@students.ukdw.ac.id,13,2024,3.60
Kartika Firmansyah,31230181,31230181@students.ukdw.ac.id,31,2023,3.75
Lina Melati,41220182,41220182@students.ukdw.ac.id,41,2022,3.40
Mira Gunawan,61240183,61240183@students.ukdw.ac.id,61,2024,3.85
Nanda Sartika,62230184,62230184@students.ukdw.ac.id,62,2023,3.50
Oki Purnomo,71220185,71220185@students.ukdw.ac.id,71,2022,3.65
Prita Cahyani,72240186,72240186@students.ukdw.ac.id,72,2024,3.30
Qiqi Suryanto,81230187,81230187@students.ukdw.ac.id,81,2023,3.95
Rudi Kartini,01220188,01220188@students.ukdw.ac.id,01,2022,3.45
Sari Hakim,11240189,11240189@students.ukdw.ac.id,11,2024,3.70
Toni Pertiwi,12230190,12230190@students.ukdw.ac.id,12,2023,3.55
Udin Ramadhan,13220191,13220191@students.ukdw.ac.id,13,2022,3.80
Vina Safira,31240192,31240192@students.ukdw.ac.id,31,2024,3.35
Wati Budiman,41230193,41230193@students.ukdw.ac.id,41,2023,3.90
Xena Ayu,61220194,61220194@students.ukdw.ac.id,61,2022,3.25
Yudi Irawan,62240195,62240195@students.ukdw.ac.id,62,2024,3.60
Zara Dewi,71230196,71230196@students.ukdw.ac.id,71,2023,3.75
Agus Saputra,72220197,72220197@students.ukdw.ac.id,72,2022,3.40
Bayu Fitri,81240198,81240198@students.ukdw.ac.id,81,2024,3.85
Candra Maulana,01230199,01230199@students.ukdw.ac.id,01,2023,3.50
Dewi Sinta,11220200,11220200@students.ukdw.ac.id,11,2022,3.65
Lestari Wijaya,71250001,71250001@students.ukdw.ac.id,71,2025,3.85,Jakarta,1995-03-15,Dr. Bambang Wijaya,196503151990031001,Pembina Utama Muda,Kementerian Kesehatan RI
Muhammad Rizki Pratama,72250002,72250002@students.ukdw.ac.id,72,2025,3.92,Bandung,1995-07-22,Ir. Ahmad Rizki,196507221988121002,Pembina,PT Telkom Indonesia
Nur Aini Sari,50250003,50250003@students.ukdw.ac.id,50,2025,3.67,Surabaya,1995-11-08,Dra. Siti Nurhasanah,196511081987032001,Penata Tk I,Dinas Pendidikan Jawa Timur
Oki Pratama Putra,57250004,57250004@students.ukdw.ac.id,57,2025,3.78,Yogyakarta,1995-02-14,Prof. Dr. Oki Setiawan,196502141985031003,Pembina Utama Madya,Universitas Gadjah Mada
Putri Maharani,01250005,01250005@students.ukdw.ac.id,01,2025,3.45,Medan,1995-09-30,S.H. Maharani Putri,196509301989032002,Penata,Pengadilan Negeri Medan
Qori Santoso,11250006,11250006@students.ukdw.ac.id,11,2025,3.89,Makassar,1995-12-05,Drs. Qori Hakim,196512051990121001,Pembina,Kantor Wilayah Kemenag Sulsel
Rina Kusuma Dewi,12250007,12250007@students.ukdw.ac.id,12,2025,3.56,Palembang,1995-04-18,dr. Kusuma Wardani,196504181988032003,Penata Tk I,RSUD Palembang
Sandi Permata,13250008,13250008@students.ukdw.ac.id,13,2025,3.73,Semarang,1995-08-12,Ir. Sandi Wijaya,196508121987121002,Pembina,Dinas PU Jawa Tengah
Tina Rahayu,31250009,31250009@students.ukdw.ac.id,31,2025,3.81,Denpasar,1995-06-25,Dra. Rahayu Sari,196506251989032001,Penata Tk I,Dinas Pariwisata Bali
Umar Fadillah,32250010,32250010@students.ukdw.ac.id,32,2025,3.64,Balikpapan,1995-10-03,S.T. Umar Hakim,196510031990031004,Pembina,PT Pertamina
Vina Lestari,33250011,33250011@students.ukdw.ac.id,33,2025,3.90,Pontianak,1995-01-17,Drs. Lestari Budi,196501171988121003,Penata,Kantor Gubernur Kalbar
Wahyu Indra,34250012,34250012@students.ukdw.ac.id,34,2025,3.52,Manado,1995-05-28,dr. Indra Wahyu,196505281987031002,Penata Tk I,RSUP Prof. Kandou
Xenia Putri,35250013,35250013@students.ukdw.ac.id,35,2025,3.87,Jayapura,1995-09-11,S.Pd. Xenia Sari,196509111989032004,Pembina,Dinas Pendidikan Papua
Yoga Pratama,36250014,36250014@students.ukdw.ac.id,36,2025,3.75,Ambon,1995-03-07,Drs. Yoga Santoso,196503071990121001,Penata Tk I,Kantor Walikota Ambon
Zahra Amelia,37250015,37250015@students.ukdw.ac.id,37,2025,3.68,Pekanbaru,1995-11-20,S.E. Amelia Zahra,196511201988032002,Pembina,Bank Indonesia Pekanbaru
